Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
C. INNOVATOR,Panama,3FGA2,Crude Oil Tanker,Tanker (HAZ-A),2012,166381,166381,333 / 60
DELTA APOLLONIA,Liberia,D5SC3,Crude Oil Tanker,Tanker,2015,166955,166955,333 / 60
ZOURVA,Malta,9HA3434,Crude Oil Tanker,Tanker,2014,164756,164756,333 / 60
MILTIADIS JUNIOR,Liberia,D5FV2,Crude Oil Tanker,Tanker,2014,166308,166308,333 / 60
WU TAI SAN,Singapore,9VNH2,Crude Oil Tanker,Tanker,2011,164580,164580,333 / 60
KUN LUN SAN,Singapore,9V8383,Crude Oil Tanker,Tanker,2011,164580,164580,333 / 60
SIMONE,France,FLWT,Crude Oil Tanker,Tanker,2012,164641,164641,332 / 60
NEW RENOWN,Hong Kong,VRQU6,Crude Oil Tanker,Tanker,2017,166639,166639,333 / 60
SARA,France,FIOF,Crude Oil Tanker,Tanker,2011,164641,164641,332 / 60
SANDRA,France,FIDS,Crude Oil Tanker,Tanker,2011,164641,164641,332 / 60
NEW JOVIALITY,Hong Kong,VRIO2,Crude Oil Tanker,Tanker,2011,164680,164680,333 / 60
SONIA,France,FLAA,Crude Oil Tanker,Tanker,2012,164641,164641,332 / 60
NEW VIGOROUS,Hong Kong,VRJU3,Crude Oil Tanker,Tanker,2012,164680,164680,333 / 59
STARLA,Iran,-,Crude Oil Tanker,-,2012,164796,164796,333 / 60
SNOW,Iran,EPJH9,Crude Oil Tanker,Tanker,2012,164796,164796,322 / 60
DELTA AMAZON,Liberia,D5ST3,Crude Oil Tanker,Tanker,2015,166178,166178,333 / 60
NEW WISDOM,Hong Kong,VRJC8,Crude Oil Tanker,Tanker,2011,164680,164680,333 / 60
NEW MERIT,Hong Kong,VRQP8,Crude Oil Tanker,Tanker,2017,165125,165125,333 / 60
CHANG BAI SAN,Singapore,9V8387,Crude Oil Tanker,Tanker,2012,164169,164169,333 / 60
HILWAH,Saudi Arabia,HZGR,Crude Oil Tanker,Tanker,2002,164292,164292,333 / 60
DAN,Iran,EPJB8,Crude Oil Tanker,Tanker,2009,164241,164241,333 / 60
QI LIAN SAN,Singapore,9V8384,Crude Oil Tanker,Tanker,2012,164169,164169,333 / 60
LULU,Saudi Arabia,HZGM,Crude Oil Tanker,Tanker,2003,164292,164292,333 / 60
FPSO MV 29,Bahamas,C6BK5,Offshore Support Vessel,Other type,2000,164160,164160,335 / 58
DORE,Iran,EPJG2,Crude Oil Tanker,Tanker,2009,164241,164241,333 / 60
TINAT,Saudi Arabia,HZGS,Crude Oil Tanker,Tanker,2002,164292,164292,333 / 60
STELLAR SAMBA,Marshall Islands,V7AD5,Bulk Carrier,Cargo ship,1994,164325,164325,333 / 58
STELLAR NEPTUNE,Marshall Islands,V7ZK7,Bulk Carrier,Unknown,1993,164325,164325,333 / 58
HABRUT,Marshall Islands,V7XU9,Crude Oil Tanker,Unknown,2012,164359,164359,333 / 60
IZKI,Marshall Islands,V7XV2,Crude Oil Tanker,Tanker,2012,164359,164359,333 / 60
BUKHA,Marshall Islands,V7YF9,Crude Oil Tanker,Tanker,2012,164359,164359,333 / 60
AS SUWAYQ,Marshall Islands,V7XU8,Crude Oil Tanker,Tanker (HAZ-A),2012,164359,164359,333 / 60
SEEB,Marshall Islands,V7YD4,Crude Oil Tanker,Tanker,2011,164359,164359,333 / 60
DHT STALLION,Hong Kong,VRSX9,Crude Oil Tanker,Tanker,2018,163571,163571,336 / 60
HUGE,Iran,EPJE5,Crude Oil Tanker,Tanker,2008,163660,163660,333 / 60
HELM,Iran,EPJF9,Crude Oil Tanker,Tanker,2008,163660,163660,333 / 60
GRACE STAR,Thailand,HSB5766,FSO,Tanker,2001,163761,163761,334 / 70
WINSON NO.5,Panama,3FNF7,FSO,Tanker,2001,163761,163761,334 / 70
AMBER,Iran,-,Crude Oil Tanker,-,2008,163660,163660,333 / 60
WU XIAN,Sao Tome & Principe,-,Crude Oil Tanker,-,1996,163882,163882,340 / 56
CS DEVELOPMENT,Marshall Islands,V7QW3,FSO,Tanker (HAZ-C),1997,163720,163720,340 / 56
ATBAN,Palau,T8A3277,Crude Oil Tanker,Tanker,1996,163882,163882,340 / 56
AL DAFNA,Marshall Islands,V7QG3,LNG Tanker,Tanker (HAZ-D),2009,163922,163922,345 / 54
ZARGA,Marshall Islands,V7QF2,LNG Tanker,Tanker (HAZ-D),2010,163922,163922,345 / 54
AL MAYEDA,Marshall Islands,V7QG4,LNG Tanker,Tanker (HAZ-A),2009,163922,163922,345 / 54
CIDADE DE ILHABELA,Bahamas,C6YX9,Offshore Support Vessel,Unknown,1996,162822,162822,330 / 58
XIN WEI YANG,Singapore,9V3643,Crude Oil Tanker,Tanker,2017,162761,162761,333 / 60
LANDBRIDGEPROSPERITY,Hong Kong,VRPF3,Crude Oil Tanker,Tanker,2016,162800,162800,333 / 60
KYO-EI,Liberia,D5SU2,Crude Oil Tanker,Tanker,2014,162858,162858,335 / 60
FARHAH,Saudi Arabia,HZFM,Crude Oil Tanker,Tanker,2010,162863,162863,333 / 60
NISALAH,Saudi Arabia,HZFF,Crude Oil Tanker,Tanker,2010,162863,162863,333 / 60
TAQAH,Marshall Islands,V7ZI4,Crude Oil Tanker,Unknown,2012,162960,162960,333 / 60
NIBAN,Saudi Arabia,HZHG,Crude Oil Tanker,Tanker,2010,162863,162863,333 / 60
SIFA,Marshall Islands,V7YD6,Crude Oil Tanker,Tanker,2011,163066,163066,333 / 60
FRONT ENDURANCE,Marshall Islands,V7UH6,Crude Oil Tanker,Tanker,2009,162706,162706,333 / 60
DABA,Marshall Islands,V7XU7,Crude Oil Tanker,Tanker,2012,162960,162960,333 / 60
JAHAM,Saudi Arabia,HZGU,Crude Oil Tanker,Tanker,2008,162252,162252,332 / 60
SAHBA,Saudi Arabia,HZGE,Crude Oil Tanker,Tanker,2009,162286,162286,333 / 60
KARAN,Saudi Arabia,HZHF,Crude Oil Tanker,Tanker,2009,162252,162252,332 / 58
DORRA,Saudi Arabia,HZCP,Crude Oil Tanker,Tanker,2009,162286,162286,333 / 60
WEDYAN,Liberia,D5KG2,Crude Oil Tanker,Unknown,2010,162330,162330,333 / 60
GHAZAL,Saudi Arabia,HZBM,Crude Oil Tanker,Tanker,2009,162286,162286,333 / 60
MARAN TAURUS,Greece,SVCG3,Crude Oil Tanker,Tanker,2011,162330,162330,333 / 60
COSWISDOM LAKE,Hong Kong,VRQD5,Crude Oil Tanker,Tanker,2016,162542,162542,333 / 60
KIDAN,Liberia,D5KF9,Crude Oil Tanker,Tanker,2010,162330,162330,333 / 60
MARAN THALEIA,Greece,SVCF8,Crude Oil Tanker,Tanker,2011,162330,162330,333 / 60
DESH VISHAL,India,AUTP,Crude Oil Tanker,Tanker,2009,162412,162412,333 / 60
COSFLOURISH LAKE,Hong Kong,VRRF6,Crude Oil Tanker,Tanker,2017,162542,162542,333 / 60
EAGLE VERONA,Singapore,9V6223,Crude Oil Tanker,Tanker,2013,161833,161833,333 / 60
DHT OPAL,Hong Kong,VRSY7,Crude Oil Tanker,Tanker,2012,161969,161969,333 / 60
ARSAN,Saudi Arabia,HZFT,Crude Oil Tanker,Tanker,2010,161969,161969,333 / 60
KIRKUK,Marshall Islands,V7A2016,Crude Oil Tanker,Tanker,2019,161960,161960,333 / 60
EAGLE VARNA,Singapore,9V6189,Crude Oil Tanker,Tanker,2013,161974,161974,333 / 60
DILAM,Saudi Arabia,HZFY,Crude Oil Tanker,Tanker,2010,161969,161969,333 / 60
MARAN THETIS,Greece,SVBZ4,Crude Oil Tanker,Tanker,2012,162018,162018,333 / 60
AGITOS,Liberia,D5RM8,Crude Oil Tanker,Tanker,2019,161983,161983,333 / 60
AMYNTAS,Liberia,D5RM6,Crude Oil Tanker,Tanker,2019,161983,161983,333 / 60
C.FREEDOM,Panama,HPEJ,Crude Oil Tanker,Unknown,2013,162044,162044,333 / 60
C. INFINITY,Panama,3FKR7,Crude Oil Tanker,Tanker,2012,162044,162044,333 / 60
C. PROGRESS,Panama,3FLB3,Crude Oil Tanker,Tanker,2012,162044,162044,333 / 60
KAHLA,Saudi Arabia,HZCR,Crude Oil Tanker,Tanker,2009,162160,162160,333 / 60
MARAN APHRODITE,Greece,SVCS7,Crude Oil Tanker,Tanker,2018,161287,161287,336 / 60
SOPHIA,Greece,SVCK2,Crude Oil Tanker,Tanker,2017,161287,161287,336 / 60
RED NOVA,Liberia,D5UH4,Crude Oil Tanker,Tanker,2013,161296,161296,333 / 60
PERFECT,Liberia,D5VR2,Crude Oil Tanker,Tanker,2003,161306,161306,333 / 60
SEA GEM,Liberia,D5VU4,Crude Oil Tanker,Tanker,2013,161296,161296,333 / 60
SEAWAYS TYBEE,Marshall Islands,V7LP5,Crude Oil Tanker,Tanker,2015,161319,161319,333 / 60
VL PRIME,Panama,3FPE6,Crude Oil Tanker,Tanker,2015,161367,161367,333 / 60
APOLYTARES,Greece,SVAP8,Crude Oil Tanker,Tanker,2009,161314,161314,336 / 60
TRIDENT PROSPERITY,Panama,3EAW7,Crude Oil Tanker,Tanker,2003,161306,161306,333 / 60
SEAWAYS DIAMOND HEAD,Marshall Islands,V7NH4,Crude Oil Tanker,Tanker,2016,161319,161319,333 / 60
SEAKING,Bahamas,C6UC7,Crude Oil Tanker,Tanker,2005,161382,161382,333 / 60
TEDORIGAWA,Panama,3EMS3,Crude Oil Tanker,Tanker,2018,161483,161483,340 / 60
XIN SHEN YANG,China,BPAH,Crude Oil Tanker,Tanker,2010,161488,161488,333 / 60
ATHINA II,Malta,9HA4660,Crude Oil Tanker,Tanker (HAZ-A),2005,161382,161382,333 / 60
HAPPINESS I,Iran,EQXV,Crude Oil Tanker,Unknown,2003,160930,160930,333 / 58
CAPTAIN X.KYRIAKOU,Marshall Islands,V7AW8,Crude Oil Tanker,Tanker,2013,160987,160987,333 / 60
ATHENIAN FREEDOM,Marshall Islands,V7ZG4,Crude Oil Tanker,Tanker,2013,160987,160987,333 / 60
IVONNE,Panama,3ETA9,Crude Oil Tanker,Tanker,2004,161045,161045,330 / 60
AL JABRIYAH II,Kuwait,9KEH,Crude Oil Tanker,Tanker,2007,161113,161113,333 / 60
DHT HAWK,Hong Kong,VRDB6,Crude Oil Tanker,Tanker,2007,160937,160937,333 / 60
TI HELLAS,Belgium,ONDQ,Crude Oil Tanker,Tanker,2005,161127,161127,333 / 60
ALSACE,France,FJVL,Crude Oil Tanker,Tanker,2012,161177,161177,331 / 60
KAZIMAH III,Kuwait,9KCD,Crude Oil Tanker,Tanker,2006,161113,161113,333 / 60
DESH VAIBHAV ,India,AUFH,Crude Oil Tanker,Unknown,2005,161202,161202,333 / 60
SEA LYNX,Malta,9HA3463,Crude Oil Tanker,Tanker,2004,161233,161233,333 / 60
EAGLE VERMONT,Singapore,S6HU9,Crude Oil Tanker,Tanker,2002,161233,161233,333 / 60
LAYLA,Saudi Arabia,HZAP,Crude Oil Tanker,Tanker,2007,160782,160782,333 / 60
ELIZA,Liberia,A8MM2,Crude Oil Tanker,Tanker (HAZ-B),2008,160836,160836,333 / 60
WAFRAH,Saudi Arabia,HZCS,Crude Oil Tanker,Tanker,2007,160782,160782,333 / 60
IOANNA,Liberia,A8MM5,Crude Oil Tanker,Tanker (HAZ-B),2008,160836,160836,333 / 60
MARAN ANDROMEDA,Greece,SVDC6,Crude Oil Tanker,Tanker,2005,160869,160869,333 / 60
DESH UJAALA,India,AUFI,Crude Oil Tanker,Tanker,2005,161202,161202,333 / 60
DHT SCANDINAVIA,Hong Kong,VRPO9,Crude Oil Tanker,Tanker,2006,160882,160882,333 / 60
SEA LION,Greece,SVBR9,Crude Oil Tanker,Tanker,2003,160889,160889,333 / 60
OLYMPIC LYRA,Marshall Islands,V7A2038,Crude Oil Tanker,Tanker,2019,160874,160874,333 / 60
MT MARAN TRITON,Greece,SVBT6,Crude Oil Tanker,Tanker,2003,160889,160889,333 / 60
DOWNY,Iran,-,Crude Oil Tanker,-,2004,160576,160576,334 / 58
LIZA DESTINY,Bahamas,C6BF5,Offshore Support Vessel,Tanker,1999,160561,160561,335 / 58
GASSAN,Panama,3EZN,Crude Oil Tanker,Tanker,2012,160589,160589,333 / 60
GENE,Marshall Islands,V7UD7,Crude Oil Tanker,Tanker,2003,160889,160889,333 / 60
DEVON,Iran,EQYA,Crude Oil Tanker,Tanker,2002,160576,160576,334 / 58
GEORGIOS,Liberia,A8MN7,Crude Oil Tanker,Tanker,2009,160598,160598,333 / 60
HAKKAISAN,Japan,7JJV,Crude Oil Tanker,Tanker,2009,160632,160632,333 / 60
DEEP SEA,Iran,-,Crude Oil Tanker,-,2004,160576,160576,334 / 58
TANZAWA,Panama,H9KL,Crude Oil Tanker,Tanker,2019,160597,160597,340 / 60
C.PRIMACY,Panama,3FEE,Crude Oil Tanker,Tanker,2010,160619,160619,336 / 60
C.ETERNITY,Panama,3EWB2,Crude Oil Tanker,Tanker,2010,160619,160619,336 / 60
STELLAR MAGIC,Marshall Islands,V7ZK6,Bulk Carrier,Cargo ship,1994,160666,160666,332 / 58
OSX3,Liberia,ELJH7,Offshore Support Vessel,Tanker,1989,160257,160257,328 / 57
GEN-EI,Japan,7KBW,Crude Oil Tanker,Tanker,2018,160276,160276,339 / 60
OLYMPIC LIGHT,Greece,SVBZ7,Crude Oil Tanker,Tanker,2011,160278,160278,333 / 60
DHT EUROPE,Hong Kong,VRTG5,Crude Oil Tanker,Tanker,2007,160882,160882,334 / 60
MARIA P. LEMOS,Malta,9HA4741,Crude Oil Tanker,Tanker,2018,160655,160655,333 / 60
518,Palau,63,Crude Oil Tanker,HSC (HAZ-A),1999,160279,160279,335 / 58
ASIAN PROGRESS V,Singapore,9V2850,Crude Oil Tanker,Tanker,2006,160292,160292,333 / 60
SPLENDOR,Comoros,-,Crude Oil Tanker,-,1993,160299,160299,331 / 58
HORAISAN,Japan,7KBT,Crude Oil Tanker,Tanker,2013,160361,160361,333 / 60
TANGO,Japan,7KAB,Crude Oil Tanker,Tanker,2009,160317,160317,333 / 60
DHT FALCON,Hong Kong,VRNB8,Crude Oil Tanker,Tanker,2006,160359,160359,333 / 60
OTOWASAN,Panama,3EDW5,Crude Oil Tanker,Tanker,2005,160292,160292,333 / 60
MESDAR,Liberia,A8NX6,Crude Oil Tanker,Tanker,2007,160295,160295,333 / 60
GENER8 SUPREME,Marshall Islands,V7LQ3,Crude Oil Tanker,Tanker,2016,160449,160449,333 / 60
PACIFIC VOYAGER,Panama,3FAZ9,Crude Oil Tanker,Tanker,2009,160398,160398,333 / 60
STELLAR TOPAZ,Marshall Islands,V7AD6,Bulk Carrier,Cargo ship,1994,160454,160454,332 / 58
NISSOS RHENIA,Marshall Islands,V7A2229,Crude Oil Tanker,Tanker,2019,160457,160457,333 / 60
AWTAD,Saudi Arabia,HZFU,Crude Oil Tanker,Tanker,2011,160493,160493,333 / 60
ELBHOFF,Hong Kong,VRPX3,Crude Oil Tanker,Tanker,2017,160462,160462,333 / 60
NISSOS DESPOTIKO,Marshall Islands,V7A2225,Crude Oil Tanker,Tanker,2019,160457,160457,333 / 60
LEONIDAS,Greece,SVAV4,Crude Oil Tanker,Tanker,2009,160502,160502,333 / 60
MARION,Liberia,D5WP4,Crude Oil Tanker,Tanker,2001,160084,160084,333 / 58
PANTARISTE,Malta,9HA4599,Crude Oil Tanker,Tanker,2002,160100,160100,333 / 58
JUDY II,Sao Tome & Principe,S37TK,Crude Oil Tanker,Tanker,2001,160100,160100,333 / 58
TAIGA,Panama,3EJT8,Crude Oil Tanker,Tanker,2007,160109,160109,333 / 60
TSUSHIMA,Singapore,9VHE8,Crude Oil Tanker,Tanker,2008,160116,160116,333 / 60
INDIGO NOVA,Liberia,D5TV2,Crude Oil Tanker,Tanker,2007,160133,160133,333 / 60
NISSHO MARU,Panama,H9SR,Crude Oil Tanker,Tanker,2004,160123,160123,333 / 60
BELEMA SWEET,Marshall Islands,V7NW2,Crude Oil Tanker,Tanker,1996,160129,160129,332 / 58
VOYAGER I,Marshall Islands,V7KP6,Crude Oil Tanker,Tanker,2003,160100,160100,332 / 58
ATHENIAN GLORY,Marshall Islands,V7UT4,Crude Oil Tanker,Tanker,2011,160135,160135,333 / 60
ATHENIAN VICTORY,Marshall Islands,V7RY6,Crude Oil Tanker,Tanker,2009,160135,160135,333 / 60
ATHENIAN SUCCESS,Marshall Islands,V7SX2,Crude Oil Tanker,Tanker (HAZ-A),2010,160135,160135,333 / 60
TSUGARU,Japan,7JVF,Crude Oil Tanker,Tanker,2010,160152,160152,333 / 60
YUFUSAN,Panama,3EDJ9,Crude Oil Tanker,Tanker,2005,160216,160216,333 / 60
ATHENIAN HARMONY,Marshall Islands,V7FZ6,Crude Oil Tanker,Tanker,2010,160135,160135,333 / 60
RIDGEBURY PROGRESS,Marshall Islands,V7MN9,Crude Oil Tanker,Tanker,2000,160216,160216,334 / 58
NEW ENTERPRISE,Hong Kong,VRDQ9,Crude Oil Tanker,Tanker,2008,160218,160218,333 / 60
PIONEER,Palau,-,Crude Oil Tanker,-,1999,160216,160216,334 / 58
RIDGEBURY PURPOSE,Marshall Islands,V7MP8,Crude Oil Tanker,Tanker,2000,160216,160216,335 / 58
GALILEAN 7,Marshall Islands,V7MP9,Crude Oil Tanker,Tanker,2000,160216,160216,334 / 58
OMEGA TRADER,Japan,7JYI,Crude Oil Tanker,Tanker,2011,159962,159962,333 / 60
TOKITSU MARU,Japan,7JIV,Crude Oil Tanker,Tanker,2011,159963,159963,333 / 60
ABQAIQ,Saudi Arabia,HZGD,Crude Oil Tanker,Tanker,2002,159990,159990,333 / 58
HARAD,Saudi Arabia,HZGB,Crude Oil Tanker,Tanker,2001,159990,159990,333 / 58
IWATESAN,Panama,3EXZ7,Crude Oil Tanker,Tanker,2003,159960,159960,333 / 60
SAFWA,Saudi Arabia,HZGC,Crude Oil Tanker,Tanker,2002,159990,159990,333 / 58
ADMIRAL,Malta,9HA5267,Crude Oil Tanker,Tanker,2005,160007,160007,333 / 60
PIS PIONEER,Panama,H8UX,Crude Oil Tanker,Tanker,2004,160007,160007,333 / 60
NIOVI,Panama,3FUS9,Crude Oil Tanker,Tanker,2005,160046,160046,333 / 58
NEW PEARL,Hong Kong,VROQ2,Crude Oil Tanker,Tanker,2011,160043,160043,333 / 60
MARAN REGULUS,Greece,-,Crude Oil Tanker,-,2000,160036,160036,333 / 58
OLYMPIC LOYALTY II,Greece,SVBT3,Crude Oil Tanker,Tanker,2005,160046,160046,333 / 58
FARM,Panama,3FNX8,Crude Oil Tanker,Tanker,1999,160036,160036,333 / 58
FPMC C JADE,Liberia,A8VE5,Crude Oil Tanker,Tanker,2010,159869,159869,333 / 60
FPMC C KNIGHT,Liberia,A8XJ3,Crude Oil Tanker,Tanker,2011,159869,159869,333 / 60
FPMC C LORD,Liberia,A8XJ5,Crude Oil Tanker,Tanker,2011,159869,159869,333 / 60
ENEOS TOKYO,Japan,JRBI,Crude Oil Tanker,Tanker,2004,160062,160062,333 / 60
NEWTON,Belgium,ONHV,Crude Oil Tanker,Tanker,2009,159911,159911,333 / 58
NEPTUN,Liberia,D5SD4,Crude Oil Tanker,Tanker,2007,159911,159911,334 / 58
NECTAR,Liberia,D5SD7,Crude Oil Tanker,Tanker,2008,159911,159911,333 / 55
CITY OF TOKYO,Liberia,D5SE8,Crude Oil Tanker,Tanker,2004,159872,159872,333 / 60
NAUTICA,Liberia,D5SD6,Crude Oil Tanker,Tanker,2008,159911,159911,333 / 58
NAUTILUS,Liberia,D5SD2,Crude Oil Tanker,Tanker,2006,159911,159911,333 / 58
NOBLE,Liberia,D5VY3,Crude Oil Tanker,Tanker,2008,159911,159911,333 / 58
NUCLEUS,Liberia,D5SD5,Crude Oil Tanker,Tanker,2007,159911,159911,333 / 58
SELENE TRADER,Panama,HPOE,Crude Oil Tanker,Tanker,2003,159912,159912,333 / 60
M.T. TENJUN,Panama,3ETD4,Crude Oil Tanker,Tanker,2008,159927,159927,333 / 60
PLATA PIONEER,Marshall Islands,-,Crude Oil Tanker,-,1999,159423,159423,333 / 60
TINA,Palau,-,Crude Oil Tanker,-,2000,159463,159463,333 / 60
NAVE NEUTRINO,Hong Kong,VRYU3,Crude Oil Tanker,Tanker (HAZ-D),2003,159456,159456,333 / 60
LONGBOW LAKE,Honduras,HQAI8,Crude Oil Tanker,Tanker,2002,159477,159477,333 / 60
BERGE FJORD,Panama,-,Bulk Carrier,-,1987,159534,159534,332 / 57
LATIN VENTURE,Sierra Leone,9LU2045,Crude Oil Tanker,Tanker,2001,159566,159566,333 / 60
SEA HORIZON,Marshall Islands,V7AV7,Crude Oil Tanker,Tanker,2001,159456,159456,333 / 60
TRIDENT AGILITY,Marshall Islands,V7ZC5,Crude Oil Tanker,Tanker (HAZ-A),2001,159456,159456,333 / 60
BERGE VIK,Panama,-,Bulk Carrier,-,1987,159534,159534,332 / 57
CHRYSSI,Liberia,D5SP3,Crude Oil Tanker,Tanker,2000,159577,159577,333 / 60
LUBOV,Comoros,D6A2704,Crude Oil Tanker,Tanker,2003,159730,159730,333 / 60
COSBRIGHT LAKE,Panama,HOZX,Crude Oil Tanker,Tanker,2003,159730,159730,333 / 60
DHT RAVEN,Hong Kong,VRSY6,Crude Oil Tanker,Tanker,2004,159087,159087,332 / 58
DHT LAKE,Hong Kong,VRSY4,Crude Oil Tanker,Tanker,2004,159087,159087,332 / 58
SC ENTERPRISE LIX,Indonesia,PNGJ,FSO,Tanker,2000,159187,159187,333 / 58
CIDADE D MANGARATIBA,Bahamas,C6AD5,Offshore Support Vessel,Other type,1992,159202,159202,332 / 58
CRSTAL STAR,Thailand,HSB7154,Crude Oil Tanker,Tanker (HAZ-A),2000,159397,159397,333 / 60
SEAWAYS TANABE,Marshall Islands,V7JB3,Crude Oil Tanker,Tanker,2002,159383,159383,333 / 60
UMBA,Russia,UEIW,FSO,Tanker,2001,159397,159397,333 / 60
MT MARINA M,Malta,9HII9,Crude Oil Tanker,Tanker,2000,159187,159187,333 / 58
ARIAKE,Singapore,9V6449,Crude Oil Tanker,Tanker,2001,159397,159397,333 / 60
NEW KARPATHOS,Panama,HPER,Crude Oil Tanker,Tanker,2000,159397,159397,333 / 60
COMMODORE,Liberia,A8HH6,Crude Oil Tanker,Tanker,2000,159397,159397,333 / 60
RESPECT,Liberia,D5TS8,Crude Oil Tanker,Tanker,2006,159407,159407,333 / 60
EKATERINA,St Kitts & Nevis,V4BG4,Crude Oil Tanker,Tanker,2002,159383,159383,333 / 60
S MISTRAL,Palau,-,Crude Oil Tanker,-,2000,159414,159414,335 / 58
AQUARIUS STAR,Thailand,HSB7121,Crude Oil Tanker,Tanker,2001,159397,159397,333 / 60
EHFIOIS,Greece,SYDB #,Crude Oil Tanker,Tanker,2007,158244,158244,332 / 58
BRIGHTEN,Comoros,-,Crude Oil Tanker,-,1993,158475,158475,344 / 56
PEACE,St Kitts & Nevis,-,Crude Oil Tanker,-,1995,158475,158475,344 / 56
HEGAYA,St Kitts & Nevis,-,Crude Oil Tanker,-,1998,158503,158503,334 / 58
TAKAMATSU MARU,Japan,7JJG,Crude Oil Tanker,Tanker,2012,158424,158424,333 / 60
ALHEIA,St Kitts & Nevis,-,Crude Oil Tanker,-,1998,158503,158503,334 / 58
KHK VISION,Singapore,9VDZ4,Crude Oil Tanker,Tanker,2007,158463,158463,332 / 58
SEAWAYS KILIMANJARO,Marshall Islands,V7VO2,Crude Oil Tanker,Tanker,2012,158618,158618,330 / 55
UNIVERSAL HOPE,Panama,-,Crude Oil Tanker,-,1993,158475,158475,344 / 56
ASTRO CHLOE,Greece,SVAL7,Crude Oil Tanker,Tanker,2009,158536,158536,333 / 60
DHT BAUHINIA,Hong Kong,VRSY3,Crude Oil Tanker,Tanker,2007,158569,158569,332 / 58
DHT EDELWEISS,Hong Kong,VRDJ9,Crude Oil Tanker,Tanker,2008,158569,158569,332 / 58
BUNGA KASTURI LIMA,Malaysia,9MFE8,Crude Oil Tanker,Tanker,2007,157808,157808,330 / 60
BRILLIANT JEWEL,Liberia,D5UX7,FSO,Tanker,2002,159016,159016,332 / 58
CAESAR,Malta,9HA2033,Crude Oil Tanker,Tanker,2009,158536,158536,333 / 60
MAROON,Panama,3EXF7,Crude Oil Tanker,Tanker,2000,157814,157814,332 / 58
TRIDENT TENACITY,Marshall Islands,V7YK5,Crude Oil Tanker,Tanker (HAZ-A),2001,157814,157814,332 / 58
DUNA,Panama,3EDS7,Crude Oil Tanker,Tanker,2000,157831,157831,332 / 58
VERA,Comoros,D6A2677,Crude Oil Tanker,Tanker,2001,157831,157831,332 / 58
TIANA,Comoros,D6A2703,Crude Oil Tanker,Tanker,2000,157831,157831,332 / 58
MARAN CAPRICORN,Greece,SWCI,Crude Oil Tanker,Tanker,2008,158970,158970,333 / 60
IMPALAS,Panama,3EVT5,Crude Oil Tanker,Tanker,1999,157833,157833,332 / 58
NAVE CELESTE,Hong Kong,VRZH4,Crude Oil Tanker,Tanker,2003,158993,158993,332 / 58
LAVAILS,India,AWTL,Crude Oil Tanker,Tanker,2000,157814,157814,332 / 58
DALMA,Liberia,D5RW6,Crude Oil Tanker,Tanker,2007,157844,157844,332 / 58
DAISHAN,Liberia,D5RW7,Crude Oil Tanker,Tanker,2007,157844,157844,332 / 58
SEAHERO,Bahamas,C6CB6,Crude Oil Tanker,Tanker (HAZ-A),2006,157844,157844,332 / 58
DRENEC,Liberia,D5RV3,Crude Oil Tanker,Tanker,2016,157092,157092,336 / 60
NEW PIONEER,Hong Kong,VRHK3,Crude Oil Tanker,Tanker,2010,157052,157052,330 / 60
BUNGA KASTURI DUA,Malaysia,9MGI9,Crude Oil Tanker,Tanker,2005,157098,157098,330 / 60
DOMINICA,Liberia,D5RW3,Crude Oil Tanker,Tanker,2015,157092,157092,336 / 60
FRONT PRINCE,Marshall Islands,V7US2,Crude Oil Tanker,Tanker,2017,157142,157142,336 / 60
DIA,Liberia,D5RV4,Crude Oil Tanker,Tanker,2015,157092,157092,336 / 60
S MILLENNIUM,Liberia,-,Crude Oil Tanker,-,2000,157093,157093,330 / 58
NEW VANGUARD,Liberia,A8XW8,Crude Oil Tanker,Tanker,2011,157039,157039,330 / 60
ADS SERENADE,Liberia,ELYK8,Crude Oil Tanker,Tanker,2002,156916,156916,330 / 60
ATROMITOS,Marshall Islands,V7PP2,Crude Oil Tanker,Tanker,2016,157169,157169,336 / 60
ADS STRATUS,Liberia,ELZE9,Crude Oil Tanker,Tanker,2002,156916,156916,330 / 60
TRIDENT SYMPHONY,Marshall Islands,V7FI8,Crude Oil Tanker,Tanker,2001,157814,157814,332 / 58
APOLLONAS,Marshall Islands,V7PB7,Crude Oil Tanker,Tanker,2016,157169,157169,336 / 60
WHITE NOVA,Liberia,D5RQ3,Crude Oil Tanker,Tanker,2006,156933,156933,330 / 60
SAHAM,Panama,3FWF2,Crude Oil Tanker,Tanker,2010,156919,156919,330 / 60
SYFNOS,Liberia,D5RS4,Crude Oil Tanker,Tanker,2006,156933,156933,330 / 60
BLUE NOVA,Liberia,D5OF7,Crude Oil Tanker,Tanker,2011,157225,157225,330 / 60
AMFITRITI,St Kitts & Nevis,V4DK4,Crude Oil Tanker,Tanker,2003,156967,156967,330 / 60
ADS PAGE,Liberia,ELZF3,Crude Oil Tanker,Tanker,2002,156916,156916,330 / 60
FPMC C HONOR,Liberia,A8QN6,Crude Oil Tanker,Tanker,2008,156987,156987,320 / 60
FRONT CECILIE,Hong Kong,VRHD7,Crude Oil Tanker,Tanker,2010,156988,156988,330 / 60
FPMC C MELODY,Liberia,A8XJ6,Crude Oil Tanker,Tanker,2011,156975,156975,330 / 60
